entity,err_d,err_c,winner
ABACAVIR,2.2953217975548696,2.898316295166431,D
ABAZOLE,0.39499442230150167,0.6109276140308332,D
ABCIXIMAB,1.8757229418400057,1.9811185767399966,D
ABPRAZOLE,0.6374084738981034,1.035268589598186,D
ACALABRUTINIB,10.267548555816406,9.318545710185651,C
ACEBROPHYLLINE,0.7870109326263206,0.11837552196279866,C
ACEBUTOLOL,1.459385929200499,0.43705100731295543,C
ACECLOFENAC,11.66355587955772,9.220096989453253,C
ACETAMINOPHEN,30.86793357019951,27.590250503283016,C
ACICLOROVIR,0.6100564077223742,0.15267182068737428,C
ACICLOVIR,13.284572426795847,15.41839032573165,D
ACIVIR,13.017466373132379,11.909690331721364,C
ACLOVIR,0.7686046082276974,0.6748122632140059,C
ACTIMYCIN,1.0138478357599379,1.4302474316638576,D
ACTINOMYCIN,1.245111130764401,0.8532997640435238,C
ACYCLOVIR,5.110016209872526,3.71515701024893,C
ACYLOVIR,0.018815256622963794,0.560415154769276,D
ADALIMUMAB,3.986482273822114,3.497719125876058,C
ADRIAMYCIN,1.660802592281852,1.3264803600007669,C
AFATINIB,5.756689467183605,5.268629910958569,C
AKSONE,0.8467266985801172,0.5422864593901533,C
ALBENDAZOLE,1.1432979379507913,1.771044678953814,D
ALECTINIB,0.3413893555135677,0.6717347698905533,D
ALENDRONATE,10.21047819539828,9.922222130946892,C
ALPRAZOLAM,0.382056424541414,3.7519218216240127,D
ALSARTAN,0.9395189010209251,1.6352081980427808,D
AMANTADINE,1.3648686053517523,0.2915454378223501,C
AMEPROLOL,0.6174644963588882,1.2017457637334992,D
AMETHOCAINE,8.19700027323362,6.726741467618716,C
AMINOPHYLLINE,9.635035855581169,9.642281145528269,D
AMLOCODIPINE,0.0,0.11083507485958921,D
AMLODIPINE,29.50333775768354,23.046223566819663,C
AMLOPRIL,0.16886010784432903,0.41960785882619067,D
AMLOXICILLIN,1.4671704124615053,2.3322366472099896,D
AMOXCILLIN,0.6268833068191069,1.10222751824482,D
AMOXCYCILLIN,17.97969448939894,14.850693006457595,C
AMOXICILLIN,66.04647539708571,68.56870195917077,D
AMOXYCILLIN,49.612710625992236,41.54053232931176,C
AMPICILLIN,7.700379719964644,11.398030611768291,D
ANASTRAZOLE,5.1568806690639875,7.303096522953286,D
ANAZOLE,0.6115781675856296,0.10980107494272584,C
ANDBETAMETHASONE,5.973943131942283,5.18774724118248,C
ANDCLOXACILLIN,4.1380110184753525,3.7554036043175643,C
ANDFLUTICASONE,2.4007024012101876,2.098062622227698,C
ANDTENOFOVIR,0.28392617424667244,0.4892034540451665,D
ANGISARTAN,1.4067635992969296,1.1830912620122214,C
ANTECAVIR,3.588871983610129,3.431631946792628,C
ANZAVIR,0.6553645506596819,0.043943538156681505,C
APCALIS,4.463596703919869,6.326726759060321,D
APRAZOLE,0.2858183740909319,0.9700701331420727,D
ARIPIPRAZOLE,33.53416593564384,32.01274968146603,C
ARISTOCILLIN,0.3880867409175899,0.8152194506205057,D
ARORVASTATIN,6.776276181801915,6.903288062457971,D
ARTICAINE,1.8966874388810875,2.877692180862854,D
ASHWAGANDHA,2.76232037977951,1.0387206417688333,C
ASITOMYCIN,5.218677738572689,3.32030474715196,C
ASPIRIN,15.847004817189784,13.888750193849319,C
ASTATIN,0.07864699973201716,0.5780923456424805,D
ATAZANAVIR,7.367851283626923,9.829167430803041,D
ATENOLOL,10.738667659033837,12.544697032068726,D
ATEZOLIZUMAB,0.6397877616033081,0.20922055085567015,C
ATORVASTATIN,46.18555796254827,30.13686960294308,C
ATROPIN,0.7183504851394673,1.631796804647073,D
ATROVASTATIN,0.19165775400928142,0.8148507643203424,D
AUROCAINE,7.906337669107415,6.9300646468314255,C
AUROMYCIN,1.3514065010567946,0.9369038650164403,C
AUSTAVIR,0.6514832449805303,1.0833670101103023,D
AUSTELLAZITHROMYCIN,2.5955518217388276,2.328341450976101,C
AVANAFIL,3.3950101689588337,5.088801834757433,D
AXALINE,8.66008951481773,11.5140682234085,D
AXITINIB,5.281921750853683,4.006205624435145,C
AXOVIR,0.4771633725633707,0.6069583169531919,D
AZACITADINE,2.675016858593823,3.3280862811916823,D
AZACITIDINE,7.66619032089714,6.181397594785167,C
AZILSARTAN,0.14440249900780522,1.2345571883314053,D
AZITHORMYCIN,0.6973473849427494,0.9646719990286005,D
AZITHROMYCIN,91.13433832577357,84.35650541470659,C
AZITROMYCIN,0.884747257694555,0.4633011794967836,C
BACLOMETHASONE,0.0059480537827996385,0.0,C
BARICITINIB,2.0788087550136694,1.580921429277861,C
BECAINE,0.23662882519705034,0.6139503177021909,D
BECLAMETHASONE,1.1962256732390504,0.6414059126084566,C
BECLOMETASONE,9.699380764223832,3.6872641150668173,C
BECLOMETHASONE,4.950519271538369,4.619606060319981,C
BENAZEPRIL,3.718606067870816,1.3641624388015892,C
BENZOCAINE,17.901572642679458,19.346395767489145,D
BENZOYLMETRONIDAZOLE,1.3367582414504802,1.7066735930924566,D
BENZYLPENICILLIN,3.8416364176536604,4.565723353561017,D
BESIFLOXACIN,1.3550532593725921,0.9736732105756754,C
BESONE,0.7192122763893429,1.0210664025045533,D
BETADINE,15.869989377199829,14.707243315642415,C
BETAMETASONE,2.3216415656573153,2.9015402379981965,D
BETAMETHASONE,91.8976513901485,87.13596539979389,C
BETAMETHSONE,0.8360166241250047,1.0882873712372536,D
BETAXOLOL,1.0506618867358486,0.38629088432333347,C
BETHAMETHASONE,0.6262687487639593,1.0081848100986388,D
BEVACIZUMAB,30.146002188277542,30.281536400179085,D
BEVAMAB,1.5302514790611723,0.8988178558616373,C
BICTEGRAVIR,2.6541854896631847,1.5449223291846863,C
BIFONAZOLE,0.13410776437268357,0.15900584512850036,D
BIODRONATE,0.09079122488267499,0.7867868931659059,D
BIOMYCIN,1.8442781536945483,2.377213425052363,D
BIOTIN,2.3237421538698566,1.9848832983942746,C
BISOLOL,0.4608542134307658,1.0850089996314956,D
BISOPROLOL,17.348189312993554,15.319650242487086,C
BLEOMYCIN,4.3764886604533615,4.584658528601743,D
BOSUTINIB,7.962023775070085,7.068564157247546,C
BPAMLODIPINE,0.35083504048843184,0.678793451204713,D
BRENTUXIMAB,1.1057355927733763,1.4134687865131583,D
BREXPIPRAZOLE,7.99407235810844,8.0,D
BRIMOLOL,0.30071546374464386,0.14792219641883908,C
BUDESONIDE,47.63326895203136,42.048530486286836,C
BUPIVACAINE,3.42959687732008,1.2632904272446694,C
CABOZANTINIB,9.897693451743905,8.067918371312679,C
CAFFEINE,14.873368991850796,21.541964575657033,D
CAMPHOR,2.9463897871780276,2.542025744531685,C
CAMPICILLIN,3.7042689308521837,3.7944255612312148,D
